магазин;доход;расход;дата
okey;86672.96;14422.05;8/5/2012
perekrestok;12489.64;65075.42;26/5/2012
perekrestok;17346.50;79432.18;1/5/2012
ydoma;64281.27;43040.09;16/5/2012
ydoma;89601.88;69173.38;26/5/2012
ydoma;16102.05;64244.76;7/5/2012
okey;57747.78;92168.27;7/5/2012
pyterochka;94104.67;25605.20;27/5/2012
ydoma;93007.70;99645.61;24/5/2012
perekrestok;83711.35;62378.46;18/5/2012
ydoma;47215.80;51905.09;1/5/2012
ydoma;38109.77;89957.82;22/5/2012
okey;74929.13;56898.45;2/5/2012
okey;77340.48;76685.04;25/5/2012
ydoma;57974.54;34096.14;1/5/2012
ydoma;72442.39;15935.22;3/5/2012
ydoma;83015.04;57666.22;22/5/2012
ydoma;57607.09;66608.64;15/5/2012
perekrestok;42158.24;93786.70;17/5/2012
perekrestok;45433.97;96926.49;16/5/2012
ydoma;54220.37;97282.91;24/5/2012
perekrestok;79193.29;18916.86;5/5/2012
ydoma;88881.21;79805.51;15/5/2012
pyterochka;39354.87;10634.52;16/5/2012
perekrestok;42588.43;22367.71;11/5/2012
perekrestok;64731.56;31516.01;3/5/2012
okey;17258.74;58509.45;11/5/2012
ydoma;86467.44;18456.56;25/5/2012
